"NAME:","run_122_2_1.csv"
"EXPERIMENT TIME:","16/03/2024 00:09:17"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","166"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"27.99","-7.45","0.39","5.49","-0.09","0.36","1.01"
"28.07","-19.1","-0.04","7.10","-2.18","0.80","-1.58"
"28.13","15.4","20.0","-10.3","2.12","-2.72","-0.54"
"28.18","-4.79","11.0","4.16","-1.78","2.51","-1.19"
"28.25","4.75","11.4","-7.34","-0.45","-0.39","-1.66"
"28.32","-16.0","-8.47","8.55","-0.46","4.99","0.25"
"28.38","-2.39","1.22","1.18","0.22","-0.98","0.83"
"28.45","-8.71","8.79","3.18","-1.32","-0.17","0.98"
"28.50","-11.1","20.0","1.37","1.76","-0.62","-0.88"
"28.57","-0.35","18.2","0.43","0.21","-1.27","1.29"
"28.63","-0.12","-1.88","-1.96","1.46","-0.41","1.67"
"28.7","-1.14","2.82","1.73","0.62","0.66","0.27"
"28.75","-2.86","-5.45","-3.45","0.22","-0.33","0.35"
"28.82","-20.0","20.0","20.0","-3.34","2.93","-2.10"
"28.89","-0.16","20.0","-5.30","1.27","-1.35","-0.79"
"28.95","-4.82","10.7","1.37","-2.55","2.67","-1.98"
"29.00","0.16","4.20","-6.16","0.22","1.92","-0.54"
"29.07","-10.9","-4.67","11.7","-0.00","2.04","-0.18"
"29.14","-0.67","1.80","-4.98","0.34","-2.24","2.04"
"29.2","-20.0","20.0","16.8","-3.81","0.78","1.58"
"29.25","-3.41","20.0","3.49","-1.26","-2.30","-1.79"
"29.32","-0.86","14.2","0.20","0.85","-1.18","1.70"
"29.39","2.82","-8.43","-2.63","1.78","0.22","1.59"
"29.45","-6.55","2.71","6.16","0.45","0.88","0.83"
"29.52","-0.31","-4.04","-6.04","0.93","-0.47","-0.73"
"29.57","15.2","20.0","-0.59","3.19","0.35","-1.34"
"29.64","-7.88","17.3","6.24","-3.09","4.69","-0.58"
"29.71","-1.84","15.8","-1.29","-1.14","0.18","-2.00"
"29.77","-9.18","-4.98","-2.55","0.23","4.53","1.32"
"29.82","-2.75","-3.96","3.88","0.81","-0.75","0.08"
"29.89","0.31","0.78","1.49","-0.21","-1.35","2.27"
"29.96","-11.9","13.3","4.20","3.21","0.07","1.97"
"30.02","-2.12","20.0","6.51","-0.81","-1.09","0.08"
"30.07","0.98","6.90","-1.41","0.44","-1.50","1.27"
"30.14","3.26","-9.85","-0.20","1.26","1.42","0.64"
"30.21","-6.90","0.35","6.86","0.28","0.25","1.73"
"30.27","-20.0","5.18","4.24","0.23","0.71","-1.95"
"30.34","9.92","20.0","-20.0","0.68","-4.08","-0.91"
"30.39","-4.98","19.0","-0.98","-1.38","2.50","-1.82"
"30.46","1.53","10.5","-5.10","-0.45","0.29","-1.56"
"30.52","-16.5","-6.98","9.73","-1.21","4.70","-0.08"
"30.59","0.55","-1.41","0.16","0.51","-1.34","0.90"
"30.64","-8.79","18.3","4.55","-1.29","-0.22","2.28"
"30.71","-11.7","20.0","-4.24","0.95","-0.22","0.14"
"30.78","-1.49","17.6","2.39","-0.63","-2.18","0.93"
"30.84","1.02","-2.43","-2.67","1.17","-0.32","2.12"
"30.89","-3.96","0.98","0.12","0.19","0.36","0.32"
"30.96","0.75","-4.00","-7.41","1.47","-0.67","-1.36"
"31.03","5.69","20.0","0.04","3.25","1.33","-0.44"
"31.09","-5.84","19.6","4.31","-2.76","3.09","-0.07"
"31.16","-2.00","13.0","-1.33","-0.74","1.29","-1.45"
"31.21","-10.6","-3.49","-1.57","-0.07","4.83","0.80"
"31.34","-3.14","6.04","-1.61","-0.45","-1.48","2.33"
"31.41","-13.5","7.49","5.18","4.00","1.69","2.76"
"31.46","0.16","20.0","4.47","-0.88","-1.90","0.50"
"31.53","-1.69","4.79","-1.29","1.07","-1.07","1.49"
"31.60","2.04","-5.14","1.22","1.17","1.34","1.43"
"31.66","-4.08","-3.96","1.10","0.29","0.06","0.50"
"31.71","-3.96","20.0","20.0","-4.34","4.27","-2.17"
"31.78","-2.04","20.0","4.08","-1.14","2.41","-0.63"
"31.85","-3.49","19.1","0.00","-2.10","2.37","-1.55"
"31.91","1.02","5.14","-8.20","0.19","2.70","-0.99"
"31.96","-15.8","-6.04","11.3","-0.83","3.40","-0.55"
"32.03","-0.16","3.30","-0.98","-0.12","-1.25","0.93"
"32.10","-16.2","20.0","14.2","-4.99","-0.01","3.70"
"32.16","-6.04","20.0","8.55","-0.14","-0.94","-1.70"
"32.28","5.10","-11.1","-6.00","1.90","0.18","1.07"
"32.35","-7.45","1.88","6.47","-0.17","1.06","1.17"
"32.41","1.26","1.14","-1.45","1.16","0.34","-1.80"
"32.48","7.41","16.7","-12.9","0.56","-3.00","-0.09"
"32.53","-5.49","16.7","-0.75","-1.79","1.33","-1.65"
"32.60","1.80","17.1","-4.08","-1.07","-0.59","-1.39"
"32.67","-14.0","-11.0","1.69","0.77","4.95","0.76"
"32.91","-1.22","19.6","-0.78","-0.83","-1.70","1.17"
"32.98","0.98","-2.67","-1.10","1.58","-0.28","1.16"
"33.03","-3.73","2.20","1.37","0.60","-0.09","0.55"
"34.42","4.00","-4.82","-4.31","1.34","-1.35","1.07"
"34.49","-3.14","5.10","-2.82","0.61","-0.86","0.46"
"34.55","-0.78","-5.92","-7.88","1.12","-0.29","-0.39"
"34.92","-4.43","-0.51","2.12","-1.07","-0.14","1.82"
"34.99","-11.0","14.9","4.16","2.39","-2.09","2.82"
"35.05","-5.53","20.0","7.85","-0.70","-1.02","-0.03"
"35.10","-1.33","8.04","-0.67","0.02","-2.76","0.31"
"35.17","5.41","-7.37","-2.51","2.51","-0.15","0.80"
"35.24","-6.51","2.16","8.00","0.30","1.11","1.06"
"35.3","4.39","2.43","-4.82","1.53","-0.28","-1.38"
"35.37","9.49","20.0","3.26","1.77","-2.74","-1.24"
"35.42","-9.26","17.1","8.55","-2.66","3.47","-0.85"
"35.49","-0.35","17.9","-1.26","-0.66","-0.62","-2.22"
"35.56","-8.16","-5.26","-1.73","2.51","4.80","0.80"
"35.62","-1.80","-0.20","-0.55","1.15","-0.54","0.20"
"35.67","-4.82","-1.65","-1.14","-0.12","-0.64","2.37"
