"NAME:","walk_122_2_2.csv"
"EXPERIMENT TIME:","15/03/2024 23:35:59"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","120"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"18.68","9.41","0.12","-1.26","-0.72","-0.18","-0.18"
"18.74","7.41","4.55","4.63","0.57","-1.59","-0.24"
"18.80","16.4","10.3","2.43","0.56","-2.26","0.10"
"18.87","10.9","1.10","-0.51","0.32","-0.58","0.07"
"18.93","8.04","1.88","-1.26","0.68","-0.02","0.45"
"19.0","7.10","2.71","-2.00","-0.04","-0.03","0.74"
"19.05","7.37","0.00","-2.98","0.61","1.38","-0.04"
"19.12","9.14","4.90","-0.55","0.97","0.53","-0.65"
"19.18","12.5","3.37","-5.33","-0.36","-0.34","0.32"
"19.25","10.3","12.2","1.65","-0.20","-0.24","0.88"
"19.30","11.5","-1.69","-0.94","0.08","0.13","0.46"
"19.37","9.18","5.77","-4.55","0.44","0.03","-0.90"
"19.44","3.92","4.43","0.51","-0.74","0.56","-0.34"
"19.5","7.61","2.04","-0.08","-0.85","0.46","-0.23"
"19.55","8.79","4.35","-2.79","-1.06","0.51","-0.58"
"19.63","8.55","0.27","-0.47","-0.54","0.34","-0.19"
"19.69","9.06","1.61","1.53","-1.02","0.04","-0.18"
"19.75","9.18","7.69","4.35","0.54","-2.69","-0.46"
"19.80","16.2","6.75","-0.82","1.71","-1.78","0.04"
"19.88","7.30","-0.71","-2.16","0.23","-0.28","0.16"
"19.94","6.83","2.43","-1.02","0.91","0.13","0.54"
"20.0","6.86","2.28","-3.10","0.39","0.13","0.67"
"20.07","6.79","0.00","-2.75","0.74","1.14","-0.22"
"20.13","10.4","5.45","-0.51","0.80","0.19","-0.57"
"20.19","16.8","10.9","4.98","-0.40","0.32","0.24"
"20.26","6.75","0.27","-0.82","-0.61","0.36","1.37"
"20.32","11.7","4.20","-1.02","0.06","-0.03","-0.63"
"20.38","6.39","7.92","1.02","-0.30","1.02","-0.70"
"20.44","5.18","0.94","-2.24","-0.66","-0.13","-0.24"
"20.51","8.00","2.47","0.63","-1.24","0.79","-0.53"
"20.57","8.08","3.18","-2.12","-0.80","0.72","-0.37"
"20.63","9.10","-1.22","-0.24","-0.61","0.00","-0.08"
"20.69","7.81","1.41","7.73","-0.60","-0.20","-0.07"
"20.76","12.3","11.7","0.27","0.53","-2.91","-0.39"
"20.82","10.2","5.49","1.29","1.60","-0.86","-0.08"
"20.89","9.22","1.10","-2.12","0.71","0.27","0.28"
"20.94","6.04","2.94","-1.65","0.35","-0.05","0.77"
"21.01","7.06","0.94","-3.92","0.40","0.64","0.30"
"21.08","7.69","1.53","-1.88","1.19","0.62","-0.67"
"21.14","11.3","5.37","-4.47","-0.09","-0.36","-0.09"
"21.19","18.4","10.0","4.71","-0.57","0.15","0.44"
"21.26","7.18","-0.20","1.96","-0.39","0.82","1.03"
"21.33","10.0","4.98","-2.63","-0.13","0.13","-0.77"
"21.39","5.88","5.30","0.31","-0.44","0.89","-0.62"
"21.44","5.73","0.43","-3.37","-0.27","-0.28","-0.14"
"21.52","8.79","3.61","1.49","-1.19","1.01","-0.40"
"21.58","7.73","3.57","-2.20","-0.51","0.87","-0.25"
"21.64","10.1","-0.71","-2.55","-0.85","-0.09","-0.10"
"21.71","7.61","1.80","5.77","0.21","-0.69","-0.12"
"22.89","8.67","0.47","-2.16","0.72","0.08","0.22"
"22.96","6.16","3.45","-0.82","0.53","0.12","0.73"
"23.39","5.30","4.55","-0.94","-0.35","0.55","-0.46"
"23.90","7.85","2.16","-1.18","0.78","0.37","0.34"
"23.96","5.77","2.75","-2.39","0.41","-0.31","0.80"
"24.02","7.73","0.43","-2.75","0.56","0.95","0.18"
"24.08","8.12","3.92","-1.73","1.22","0.70","-0.70"
"24.15","13.5","5.92","-1.73","0.07","-0.17","-0.03"
"24.21","6.16","3.69","-1.18","-1.20","0.20","1.79"
"24.27","11.4","-0.27","2.39","-0.18","-0.14","-0.11"
"24.33","7.14","8.39","0.94","0.11","1.38","-0.93"
"24.40","4.04","2.75","-0.86","-0.55","0.43","-0.18"
"24.47","7.61","2.24","-0.04","-0.97","0.50","-0.33"
"24.52","7.88","5.41","-3.30","-1.06","0.10","-0.54"
"24.58","8.24","0.31","-0.27","-0.78","0.68","-0.14"
"24.65","7.92","-1.69","3.26","-1.15","0.07","-0.11"
"24.72","11.7","10.1","3.49","0.85","-2.80","-0.64"
