NAME:,run1_123_3_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 16:46:15,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
19.2700,-5.81,-4.08,13.81,-0.84,2.51,0.64
19.3520,-17.10,0.78,3.96,-0.65,-1.60,-0.30
19.4340,-12.28,-2.08,4.82,0.32,-1.47,-0.56
19.5160,-0.24,-3.49,0.98,0.52,0.01,0.49
19.5980,0.67,0.04,1.02,-1.19,0.87,-0.18
19.6800,-20.01,2.79,10.20,-1.36,0.08,-1.06
19.7620,-17.81,-6.28,4.31,0.73,0.64,0.75
19.8440,-9.69,-3.88,3.57,1.41,-0.45,0.46
19.9260,2.39,4.51,-0.39,0.38,-0.33,-0.15
20.0080,-1.57,1.45,4.82,-0.00,0.58,-0.99
20.0900,-14.91,-5.18,5.10,0.02,-0.29,0.45
20.1720,-20.01,-1.37,5.84,0.09,-1.89,0.04
20.2540,-8.43,-0.04,1.77,0.12,-1.09,-0.07
20.3360,-0.31,-0.98,0.67,-0.02,-0.01,0.25
20.4180,-1.92,2.90,11.73,-1.77,0.63,-0.57
20.5000,-20.01,0.55,10.40,0.29,0.29,-0.32
20.5820,-17.02,-2.20,4.39,0.46,0.20,1.22
20.6640,0.71,-3.45,-4.82,0.94,-0.55,0.43
20.7460,0.55,3.30,-0.86,0.13,0.61,-0.73
20.8280,-20.01,-6.32,-3.77,-0.31,1.45,-0.17
20.9100,-15.10,1.41,3.02,-0.69,-1.07,-0.07
20.9920,-13.14,-4.12,2.71,0.43,-0.93,-0.42
21.0740,-4.79,-1.26,-0.12,0.41,-0.21,0.61
21.1560,0.51,1.29,0.00,-1.14,0.70,-0.13
21.2380,-20.01,-1.65,7.85,-1.45,0.19,-1.44
21.3200,-17.50,-5.18,3.96,0.64,0.54,0.48
21.4020,-12.32,-4.16,5.92,0.98,-0.10,0.85
21.4840,2.82,3.45,-1.69,0.39,-0.33,0.10
21.5660,-0.31,-0.71,-1.57,0.20,0.87,-1.17
21.6480,-15.85,-2.39,7.45,0.31,-0.85,0.36
21.7300,-19.34,-0.39,5.33,0.05,-1.57,-0.21
21.8120,-8.98,-1.80,2.39,0.40,-1.29,-0.36
21.8940,0.00,-1.18,0.51,0.16,0.06,0.27
21.9760,-1.41,3.88,11.73,-1.36,0.58,-0.53
22.0580,-20.01,0.47,17.81,0.42,0.10,-0.43
22.1400,-14.40,0.00,3.84,0.59,0.21,1.34
22.2220,3.02,-1.69,-3.65,0.86,-0.60,0.54
22.3040,0.16,3.41,-0.67,0.26,0.62,-0.83
22.3860,-20.01,-6.98,-4.08,-0.98,1.86,-0.23
22.4680,-15.18,-1.45,2.86,-0.42,-0.39,-0.43
22.5500,-15.34,-3.92,4.35,0.25,-1.57,-0.21
22.6320,-5.33,-0.78,0.90,0.37,-0.33,0.32
22.7140,2.16,0.98,0.43,-1.01,0.75,-0.01
22.7960,-13.14,0.51,6.12,-1.79,0.82,-1.30
22.8780,-17.10,-5.26,3.77,0.59,1.60,0.06
22.9600,-11.38,-4.08,0.71,0.95,0.03,0.84
23.0420,4.12,4.20,-4.20,0.38,-0.25,0.25
23.1240,-0.31,-0.16,-1.45,0.20,0.69,-1.03
23.2060,-20.01,-3.10,2.75,0.73,-0.18,0.61
23.2880,-17.02,-1.22,4.67,-0.42,-1.65,-0.14
23.3700,-11.45,-3.10,4.20,0.20,-1.49,-0.41
23.4520,-0.63,-3.65,2.51,0.45,0.18,0.69
23.5340,2.75,1.29,2.67,-1.20,0.89,-0.25
