NAME:,walk_121_4_1.csv,,,,,
EXPERIMENT TIME:,18/03/2024 16:48,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,110,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
37.567661,1.45,-2.35,1.8,0.17,1.73,-0.39
37.653104,-3.73,-5.96,2.71,-0.4,-0.05,-0.56
37.741266,-0.27,-12.67,8.24,-0.13,0.23,0.15
37.871032,-0.55,-10.87,3.1,1.52,0.99,0.04
37.958732,8.12,-11.26,3.22,-0.66,-0.19,-0.71
38.04881,-2.82,-5.1,2.47,1.22,-1.6,0.26
38.143483,3.61,-2.9,1.37,0.32,-0.62,0.5
38.225931,-0.27,-10,9.41,-0.82,0.03,0.22
38.354545,5.81,-9.77,5.06,1.62,-1.68,0.17
38.44365,4,-9.96,2.51,0.58,0.31,0.24
38.531879,1.53,-5.49,2.31,-0.34,0.74,0.83
38.618048,-0.27,-4.82,1.96,0,1.04,-0.38
38.758071,-3.14,-6.28,5.65,-0.52,-0.34,-0.47
38.843672,-2.16,-11.96,10.04,-0.07,0.43,0.36
38.927615,-0.2,-9.06,-1.22,0.5,-0.36,-0.22
39.017422,5.45,-6.63,4,-0.17,0.36,-0.77
39.160502,-1.57,-5.06,-0.08,1,-1.67,0.54
39.248928,3.65,-2.75,2.67,-0.23,-0.36,0.39
39.337783,-0.2,-12.51,11.61,0.35,-0.3,0.32
39.444766,8.04,-10.08,0.71,0.39,-0.28,-0.03
39.56428,2.08,-14.16,0.16,-1.6,2.59,0.14
39.661721,0.94,-5.41,2.31,-0.27,1.02,0.25
39.763594,-1.37,-4.47,2.12,-0.01,0.7,-0.5
39.848466,-2.9,-6.9,5.73,-0.55,-0.41,-0.41
39.981861,-0.47,-13.45,10.43,-0.21,0.02,0.45
40.088465,-0.39,-10.08,-1.33,0.38,-0.24,-0.39
40.167864,3.77,-5.1,5.22,-0.02,-0.62,-0.29
40.251163,-0.71,-4.55,-0.98,1.2,-1.89,0.61
40.372354,3.65,-3.02,2.98,-0.44,-0.21,0.56
40.470767,3.33,-12.63,10.43,0.73,-0.34,0.29
40.555679,6.47,-11.69,1.06,0.21,-0.15,-0.59
40.642344,1.65,-15.06,2.24,-1.99,2.89,-0.05
40.768595,2.75,-4.63,1.92,-0.16,1.52,0.28
40.856563,-2.08,-5.14,1.88,0.14,1.05,-0.57
40.940324,-2.04,-8,7.18,-0.69,-0.4,-0.42
41.037379,1.18,-13.93,11.92,-0.27,0.03,0.49
41.162236,0.12,-10.94,-2,0.36,-0.9,-0.62
41.266832,1.29,-6,5.22,-0.01,-0.34,-0.4
41.343379,0.75,-4.35,-1.02,0.97,-1.7,0.51
41.409149,2.75,-3.41,2.63,-0.77,-0.01,0.4
41.507711,6.75,-13.02,8.08,0.75,-1.64,0.12
41.596208,5.84,-5.02,-2.9,-1.06,1.14,-0.42
41.70531,1.69,-12.59,2.63,-1.58,2.29,0.19
41.819255,2.51,-5.06,1.37,-0.23,1.78,0.13
41.908393,-2.2,-5.88,1.14,-0.07,0.4,-0.53
42.010249,-1.22,-8.79,7.53,-0.5,-0.21,-0.33
42.139075,0.63,-13.22,10.79,0.31,-0.04,0.6
42.222621,5.88,-15.14,0.04,-0.11,-0.94,-0.81
42.315734,0.98,-4.86,4.31,0.75,-0.92,0.18
42.436414,-0.24,-4.04,-0.47,0.99,-1.47,0.48
42.53053,2.08,-4.86,5.92,-0.89,0.04,0.52
42.632252,4.86,-11.49,8.67,0.59,-1.63,0.02
42.741179,6.39,-7.41,-0.31,-1.24,1.45,-0.6
